#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
PSMB1:5689	8	1	6	0	1
SRRM3:222183	14	0	14	0	0
AMDHD2:51005|CEMP1:752014	11	0	11	0	0
ACR:49	11	0	8	0	0
G6PC2:57818	9	0	8	0	0
QPCT:25797	14	0	13	0	0
AASS:10157	138	4	65	8	6
LDHA:3939	179	0	58	3	1
CYREN:78996|AGBL3:340351	6	0	5	0	0
TBK1:29110	358	3	129	40	5
GEMIN2:8487	2	0	1	0	0
LPAR2:9170	15	0	10	0	0
RSBN1:54665	17	0	16	0	0
RBMS2:5939	7	0	6	0	0
UBOX5:22888|FASTKD5:60493|UBOX5-AS1:100134015	19	0	19	0	0
P2RY12:64805|MED12L:116931	97	2	66	6	2
P3H1:64175	576	1	232	52	7
MT-TC:4511	30	0	0	0	1
CDS1:1040	6	0	5	0	0
SMARCC2:6601	126	6	65	13	9
SCIN:85477|LOC123924904:123924904	3	0	3	0	0
BNIP3:664|PPP2R2D:55844	5	0	5	0	0
ZMIZ1:57178	313	6	123	17	9
ARV1:64801	30	1	11	9	2
CTNNBL1:56259	12	1	10	0	1
TNP2:7142	10	0	9	0	0
CTU2:348180	167	0	85	2	2
PLA2G2E:30814	6	0	4	0	0
MGAM:8972	68	0	57	0	0
SNRPN:6638|SNHG14:104472715	10	0	0	0	0
CCL25:6370	3	0	3	0	0
MYLIP:29116	38	0	24	0	0
APLN:8862	7	0	2	0	0
MYL2:4633	362	10	141	7	10
SPATA31A7:26165	27	0	27	0	0
ILF3:3609	18	0	16	0	0
NKAIN2:154215	6	0	4	0	0
SAMD8:142891	1	0	1	0	0
AMBRA1:55626	33	0	30	0	0
NUP153:9972|LOC123620063:123620063	1	0	1	0	0
TPD52:7163|TPD52-MRPS28:124188259	3	0	2	0	0
PTX4:390667	23	0	23	0	0
LIG3:3980	63	2	34	4	5
ALG13:79868	751	7	345	1	8
FABP12:646486	8	0	7	0	0
C2orf78:388960	6	0	6	0	0
MMP7:4316	10	0	7	0	0
EMG1:10436	14	1	4	0	1
PIGS:94005	37	4	19	4	6
ST6GALNAC4:27090|ST6GALNAC4-ST6GALNAC6-AK1:123987602	13	0	11	0	0
SLITRK1:114798	117	0	28	1	1
CCDC148:130940	14	0	11	0	0
SPINK9:643394|FBXO38-DT:102546294	1	0	1	0	0
SMIM8:57150	1	0	1	0	0
CALCB:797	6	0	6	0	0
GPHN:10243|EIF2S1:1965	3	0	2	0	0
USP27X:389856	24	1	11	4	1
IL13RA2:3598	3	0	3	0	0
PIBF1:10464	93	3	49	8	5
KLF14:136259	18	0	18	0	0
AP2S1:1175	86	3	16	0	3
SYT12:91683	17	0	17	0	0
ABCA8:10351	47	0	42	0	0
CALM3:808	131	5	18	0	8
UBE2Q1:55585	6	0	6	0	0
SLC9A5:6553	30	1	24	3	3
RPL5:6125|SNORA66:26782|DIPK1A:388650	1	0	0	0	0
LILRB3:11025	24	0	23	0	0
DFFB:1677	7	0	7	0	0
HS3ST1:9957	13	0	12	0	0
PPP1R12A:4659	76	0	38	10	1
GJA10:84694	15	0	15	0	0
MT1H:4496	4	0	4	0	0
PCSK6:5046|SNRPA1-DT:120766138	1	0	1	0	0
PPM1J:333926	17	0	16	0	0
MTMR7:9108	11	0	8	0	0
PDGFD:80310|DDI1:414301	23	0	19	0	0
LDLRAD1:388633	5	0	4	0	0
ANKRD65:441869|ANKRD65-AS1:105378585	13	0	12	0	0
EPHA1:2041|LOC123956258:123956258	1	0	1	0	0
ASAH1:427	808	30	285	44	38
ENGASE:64772	34	0	31	0	0
PCSK9:255738	945	17	398	2	18
SLCO2A1:6578	208	9	73	21	11
PPFIA3:8541	20	2	14	0	3
RNF14:9604|PCDH12:51294	273	2	174	19	2
MSC:9242|MSC-AS1:100132891	6	0	6	0	0
TPSD1:23430	15	0	13	0	0
MFN2:9927|PLOD1:5351	2	0	0	0	0
SRD5A1:6715|NSUN2:54888	1	0	0	0	0
BST2:684	2	0	2	0	0
ERGIC3:51614	6	0	2	0	0
LMF2:91289	43	0	43	0	0
ITGB1BP2:26548	12	0	10	0	0
NBPF1:55672	13	0	9	0	0
NID2:22795	52	0	43	0	0
RET:5979|LOC106736614:106736614	56	0	18	0	0
PHF14:9678	12	0	12	0	0
ANTXR1:84168	120	2	37	3	4
HPS1:3257|MIR4685:100616482	3	0	0	0	0
C11orf97:643037	3	0	3	0	0
PELP1:27043	9	0	8	0	0
ST8SIA4:7903	5	0	5	0	0
OR7G2:390882	13	0	13	0	0
KIF7:374654	1274	2	628	54	4
SLC25A5:292	8	3	2	3	3
MAMLD1:10046	60	0	31	6	0
NF1:4763|LOC111811965:111811965	105	0	35	20	2
CALCRL:10203|CALCRL-AS1:105373786	9	0	5	1	0
SCN7A:6332	81	0	55	0	0
MFSD6:54842|NEMP2:100131211	22	0	19	0	0
PDS5B:23047	21	0	17	0	0
TMEM231:79583	373	7	167	15	15
ADCY10:55811|DCAF6:55827	121	0	40	6	0
CDKN2D:1032	4	0	4	0	0
SLC45A1:50651	61	0	35	0	0
ABO:28|LOC112679198:112679198	2	0	0	0	0
IL16:3603	43	0	39	0	0
IGL:3535|GGTLC2:91227	9	0	9	0	0
KIF6:221458	28	0	27	0	0
CCAR2:57805	33	0	26	0	0
SERTAD1:29950	1	0	1	0	0
TMC7:79905	24	0	23	0	0
ZNF490:57474	17	0	16	0	0
EFHD2:79180|EFHD2-AS1:101927441	4	0	4	0	0
CSAG1:158511	4	0	3	0	0
KCNA3:3738	13	0	11	0	0
HMGXB3:22993	30	0	27	0	0
LYN:4067	152	1	46	2	1
MROH1:727957	9	0	9	0	0
NOP10:55505|NUTM1:256646	2	0	1	0	0
SCAMP4:113178|ADAT3:113179	75	1	54	2	1
ZRSR2:8233	13	0	11	1	0
EFS:10278	21	0	20	0	0
NXPE1:120400|NXPE2:120406	13	0	11	0	0
PRCC:5546	8	0	8	0	0
MRPL12:6182	68	1	22	0	1
UBXN6:80700	7	0	7	0	0
CDK4:1019	530	4	235	0	4
CATSPERG:57828	27	0	27	0	0
SPTAN1:6709|DYNC2I2:89891	2	0	0	0	0
OR11H4:390442	16	0	16	0	0
MSH6:2956|FBXO11:80204	5	0	2	0	0
OR5H1:26341	14	0	14	0	0
PSMB9:5698	10	2	5	0	2
BRAT1:221927	1059	4	477	47	10
PARD6G:84552|PARD6G-AS1:100130522	6	0	6	0	0
YTHDF1:54915	17	0	11	0	0
NHP2:55651	112	0	46	0	0
KDM2B:84678|KDM2B-DT:101928346	4	0	1	0	0
UBE2Q2:92912	11	0	10	0	0
MRPL53:116540	4	0	4	0	0
FGF21:26291|LOC109279247:109279247	17	0	12	0	0
CNTN2:6900	646	0	328	19	0
GMCL1:64395	7	0	6	0	0
SLC17A1:6568|SLC17A4:10050	20	0	20	0	0
OR5B17:219965	10	0	10	0	0
PANX3:116337	5	0	5	0	0
RNASE9:390443	10	0	10	0	0
H6PD:9563	155	1	89	2	3
ZNF341:84905	301	1	134	12	1
ALDH1A3:220	28	3	2	1	3
CD63:967	5	0	2	0	0
PRSS33:260429	8	0	8	0	0
KCNU1:157855	33	0	28	0	0
CRTC2:200186	18	0	15	0	0
ZEB1:6935	60	0	28	11	1
DES:1674|DES-LCR:106866982	10	0	0	0	0
MLX:6945|PSMC3IP:29893	3	0	0	1	1
VEGFA:7422|POLR1C:9533	27	0	7	1	0
FPGT:8790|FPGT-TNNI3K:100526835	27	0	26	0	0
PLCE1:51196|PLCE1-AS2:101927049	3	0	1	0	0
MTCL1:23255	81	0	75	0	0
ZNF44:51710	25	0	23	0	0
PAGE2:203569	4	0	4	0	0
ZBTB17:7709	29	0	13	0	0
SLC22A31:146429	19	0	18	0	0
RETREG1:54463|RETREG1-AS1:101929524	114	0	57	6	0
PKMYT1:9088|PAQR4:124222	1	0	1	0	0
TBC1D19:55296	6	0	6	0	0
STRBP:55342	5	0	5	0	0
POLD3:10714	11	0	10	0	0
ASB1:51665	6	0	6	0	0
CEP85L:387119	47	5	32	5	5
PCSK7:9159	14	0	11	0	0
CAMK2D:817	15	4	5	1	6
PDZK1IP1:10158	2	0	2	0	0
TPRA1:131601	2	0	0	0	0
EDEM3:80267	30	4	18	7	5
ERBB3:2065	99	13	30	2	14
POU4F2:5458	11	0	10	0	0
GNG13:51764	4	0	4	0	0
PHKG2:5261	169	7	57	21	10
LRRC73:221424	3	0	3	0	0
TUSC3:7991	233	1	43	9	3
HTR1A:3350	22	0	14	0	0
UGT2B4:7363	23	0	20	0	0
KCNB2:9312	20	0	13	0	0
OR8D2:283160	9	0	9	0	0
UVRAG:7405	26	0	22	0	0
NLGN4Y:22829	4	0	2	0	0
MT-ATP6:4508|MT-ATP8:4509|MT-CO1:4512|MT-CO2:4513|MT-CO3:4514|MT-ND3:4537|MT-ND4:4538|MT-ND4L:4539|MT-ND5:4540|MT-TD:4555	1	0	0	1	0
TLR5:7100	32	0	27	0	0
PACSIN3:29763	11	0	11	0	0
GRB2:2885	2	0	1	0	0
CBFA2T3:863|LOC101927793:101927793	3	0	3	0	0
S100A10:6281	1	0	1	0	0
MFSD5:84975	14	0	14	0	0
MYL6:4637	4	0	4	0	0
NDRG2:57447|TPPP2:122664	6	0	5	0	0
PSMG2:56984	131	0	62	1	0
P2RY8:286530	1	1	0	0	1
ZNF439:90594	9	0	9	0	0
OR9K2:441639	11	0	10	0	0
UQCR10:29796	2	0	2	0	0
GZMB:3002	14	0	9	0	0
NXPH2:11249	6	0	5	0	0
SLC12A7:10723	108	0	36	0	0
SLC30A7:148867	20	1	14	0	1
LYPD6:130574	5	0	4	0	0
CPO:130749	15	0	15	0	0
OXNAD1:92106	11	0	10	0	0
PDGFA:5154	9	0	8	0	0
CSNK1G1:53944	9	0	8	0	0
NEGR1:257194	9	0	6	0	0
ASAH2:56624	9	0	8	0	0
OR8H1:219469	11	0	11	0	0
G6PC3:92579	246	7	124	18	6
VGLL4:9686	1	0	1	0	0
RGS18:64407	5	0	5	0	0
OR12D2:26529	4	0	3	0	0
DEK:7913	8	0	7	0	0
STAT3:6774	609	69	172	7	68
NECTIN1:5818	194	0	34	5	0
AP4S1:11154	106	1	30	14	3
TRIM66:9866	41	0	38	0	0
LOC730100:730100	1	0	0	0	0
RASL11B:65997	4	0	4	0	0
DHX29:54505	27	0	27	0	0
PCDHGA8:9708|PCDHGC3:5098|PCDHGB4:8641|PCDHGA12:26025|PCDHGB7:56099|PCDHGB6:56100|PCDHGB5:56101|PCDHGB3:56102|PCDHGB2:56103|PCDHGB1:56104	20	0	19	0	0
ZNF354A:6940	13	0	12	0	0
SIGLEC10:89790	12	0	8	0	0
TSKU:25987	17	0	17	0	0
C16orf96:342346	17	0	17	0	0
TNFRSF18:8784	17	0	17	0	0
VHL:7428|LOC107303340:107303340	972	66	306	92	102
SPCS1:28972	2	0	2	0	0
B3GNT3:10331	10	0	9	0	0
HMX1:3166	315	1	189	1	1
VCPIP1:80124	10	0	10	0	0
TMEM45A:55076	3	0	3	0	0
ATF7:11016|ATF7-NPFF:114108587	1	0	0	0	0
PGLS:25796	7	0	7	0	0
GPHN:10243|ARG2:384	8	0	6	0	0
CALU:813	7	0	6	1	0
ZSCAN20:7579	24	0	24	0	0
TBX15:6913	163	0	64	4	0
VIL1:7429	29	0	27	0	0
SECISBP2:79048	39	1	23	7	2
MAN2C1:4123|NEIL1:79661|LOC121847958:121847958	2	0	2	0	0
MYF5:4617	13	1	10	1	1
GGT1:2678	59	0	21	0	0
SNX24:28966	4	0	4	0	0
MSMO1:6307	53	3	21	0	3
TMEM132A:54972	33	0	30	0	0
PSORS1C1:170679	4	0	4	0	0
C11orf80:79703	10	0	9	1	0
HAO1:54363	24	0	12	0	0
LIAS:11019|LOC112939935:112939935	34	0	20	0	0
MCTP1:79772	17	0	14	0	0
GPR135:64582	18	0	18	0	0
OR10T2:128360	11	0	11	0	0
CMKLR1:1240	8	0	8	0	0
NUDT10:170685	3	0	3	0	0
FHIP1B:84067	1	0	1	0	0
DCAF17:80067	296	1	79	13	4
GPR171:29909|MED12L:116931	7	0	6	0	0
GIT2:9815	20	0	17	0	0
PSEN2:5664	229	6	78	0	7
CALR3:125972	250	0	109	0	0
APOH:350	17	1	10	0	1
ANKRD39:51239	8	0	8	0	0
NKX3-1:4824	11	0	9	0	0
FANCF:2188	387	0	201	27	1
CBR4:84869	5	0	5	0	0
CCDC30:728621	13	0	12	0	0
KMT2A:4297|TTC36-AS1:101929089	118	1	37	9	2
FBXO27:126433	5	0	5	0	0
SQSTM1:8878|LOC112997583:112997583	8	0	0	0	0
ZNF107:51427	26	0	19	0	0
FEZF2:55079	5	0	3	0	0
GRINA:2907|PARP10:84875|LOC124188248:124188248	1	0	1	0	0
FGD1:2245|TSR2:90121	37	0	12	4	0
E2F1:1869	12	0	6	0	0
ANKLE2:23141	185	2	63	1	2
TERT:7015	2348	24	1031	56	27
TMEM215:401498	4	0	4	0	0
TRIM5:85363	16	0	13	0	0
SLC35G3:146861	11	0	11	0	0
MKS1:54903	797	10	297	95	17
ZNF160:90338	21	0	21	0	0
MATN4:8785	28	1	22	0	1
ALDH1L2:160428	14	0	13	0	0
DNAJC1:64215	10	0	10	0	0
L3MBTL2:83746	15	0	13	0	0
AIMP1:9255	77	0	38	8	0
CCL4:6351	1	0	1	0	0
SBF1:6305	1447	2	598	17	3
CDR2:1039	8	0	8	0	0
SNRNP70:6625	10	0	10	0	0
ENPP7:339221	10	0	10	0	0
BAG6:7917	23	0	16	0	0
GDA:9615	9	0	8	0	0
BBS4:585	484	7	170	51	12
LRRC37B:114659	22	0	21	0	0
SLC22A13:9390|LOC112935930:112935930	3	0	2	0	0
DNASE1:1773	17	0	9	0	0
CACNA1E:777	1484	17	559	0	17
STC2:8614	5	0	4	0	0
SLC23A3:151295	8	0	8	0	0
MEA1:4201	3	0	3	0	0
CYREN:78996	1	0	0	0	0
SSTR5:6755	37	0	28	0	0
NUDT12:83594	7	0	7	0	0
RAI14:26064	18	0	17	0	0
UNC5A:90249	11	0	11	0	0
C6orf89:221477	1	0	1	0	0
MKRN1:23608	11	0	10	0	0
TTC8:123016	377	1	179	19	7
MORC4:79710	19	0	17	0	0
LGSN:51557	12	0	12	0	0
MMP16:4325	10	0	6	0	0
TUBGCP3:10426	16	0	16	0	0
SNW1:22938	8	0	8	0	0
TXNL1:9352	5	0	2	0	0
LRRC14B:389257	13	0	12	0	0
RHOXF2B:727940|RHOXF1-AS1:101928969	2	0	2	0	0
ZNF219:51222	18	0	17	0	0
PEX1:5189|RBM48:84060	3	0	1	0	0
SPAM1:6677	8	0	8	0	0
SPAG11A:653423	6	0	6	0	0
EME2:197342	5	0	3	0	0
RCN1:5954	12	0	11	0	0
COQ8B:79934	216	5	71	8	5
CAB39L:81617	13	0	13	0	0
THTPA:79178	4	0	4	0	0
TRMU:55687	516	8	111	60	16
RAD50:10111|TH2LCRR:101927761	168	0	93	7	0
SLC12A8:84561	30	0	30	0	0
GLIS1:148979	27	0	24	0	0
EHBP1L1:254102	47	0	44	0	0
CLSTN1:22883	25	0	22	0	0
RUNX1:861	1242	25	517	91	33
CLIC5:53405	110	0	45	2	0
MAPK8:5599	17	0	0	0	0
RXYLT1:10329|RXYLT1-AS1:104169670	44	0	25	1	0
P4HB:5034	209	1	105	1	2
CELSR1:9620	223	0	158	7	0
PYCARD:29108	3	0	1	0	0
ZFP28:140612|ZNF470-DT:112268241	18	0	18	0	0
SIX5:147912	127	0	78	0	0
SCUBE2:57758|NRIP3-DT:105376541	4	0	4	0	0
NAA40:79829	3	0	3	0	0
WWC2:80014|WWC2-AS1:101928734	1	0	1	0	0
TAFA2:338811	1	0	0	0	0
ABCC3:8714	37	0	32	0	0
ZFP42:132625	12	0	11	0	0
NAP1L3:4675	13	0	12	0	0
GRHL1:29841	8	0	7	0	0
RWDD2A:112611	7	0	7	0	0
CCDC198:55195	1	0	0	0	0
LYAR:55646	9	0	9	0	0
USP25:29761	26	0	25	0	0
NUDT3:11165|RPS10-NUDT3:100529239	2	0	2	0	0
HTR3A:3359	21	0	14	0	0
SERP2:387923	1	0	1	0	0
SCAF11:9169	32	0	29	0	0
DCTN2:10540	6	0	6	0	0
ALCAM:214	19	0	13	0	0
ADPGK:83440|ADPGK-AS1:100287559	1	0	1	0	0
GRB10:2887	16	0	16	0	0
CGGBP1:8545|ZNF654:55279	4	0	4	0	0
CHST4:10164	16	0	16	0	0
RPH3AL:9501	14	0	14	0	0
TRAF6:7189	11	0	8	0	0
SLC6A1:6529|SLC6A1-AS1:100874090	200	23	91	13	25
BTN2A1:11120	18	0	17	0	0
PLPP2:8612	13	0	13	0	0
CRACR2B:283229	15	0	15	0	0
ATP2A1:487|ATP2A1-AS1:100289092	33	1	4	3	1
PRDM15:63977	36	1	26	0	1
KEL:3792	39	0	32	1	0
HDAC4:9759	363	4	94	1	5
AIPL1:23746	445	10	169	24	14
SLC52A2:79581	442	14	265	14	14
TSN:7247	4	0	4	0	0
HLA-DRB5:3127	3	0	1	0	0
ZER1:10444|ZDHHC12-DT:100506100	1	0	1	0	0
FDX1:2230	7	0	6	0	0
VEZT:55591	9	0	9	0	0
ZSWIM2:151112	16	0	15	0	0
PPEF2:5470	24	0	24	0	0
OSTC:58505	3	0	3	0	0
SLIRP:81892	6	0	4	1	1
TLE6:79816	38	2	20	4	2
WDR37:22884	31	5	24	0	5
COL4A3:1285|MFF-DT:654841	1863	104	396	262	142
MT4:84560	3	0	3	0	0
TSEN34:79042	132	1	41	1	1
NSD1:64324	1530	108	603	368	126
HOXA3:3200	14	0	13	0	0
ZNF713:349075	6	0	6	0	0
BANK1:55024	22	0	22	0	0
SLC5A1:6523	344	7	114	9	7
KCNN2:3781|LOC101927078:101927078	13	5	7	1	5
ERMP1:79956	29	0	24	0	0
RB1:5925|LPAR6:10161	46	4	19	5	4
MRAP:56246	17	0	1	7	1
COX5B:1329	2	0	2	0	0
EEF1E1:9521|EEF1E1-BLOC1S5:100526837	2	0	2	0	0
RASGRP2:10235	133	11	35	8	12
NCEH1:57552	13	0	12	0	0
R3HDML:140902|R3HDML-AS1:105372629	1	0	1	0	0
BMX:660|ACE2:59272	7	0	4	0	0
PRKRA:8575|PJVK:494513	5	0	1	0	0
SCN3A:6328	1281	14	664	5	16
SCNN1B:6338	221	12	86	13	12
DAB1:1600	62	1	20	0	1
AMOTL2:51421	40	0	39	0	0
C1orf162:128346	2	0	2	0	0
DPY19L4:286148	12	0	10	0	0
ZNF787:126208	13	0	13	0	0
NLGN2:57555	70	0	30	0	0
LEPR:3953|LOC122094844:122094844	10	0	7	0	0
ZNF286A:57335|ZNF286A-TBC1D26:119086082	15	0	14	0	0
ZEB2-AS1:100303491	1	0	0	0	0
PCSK5:5125	38	0	24	0	0
SEC24B:10427	28	0	27	0	0
OR52E6:390078	8	0	8	0	0
CDC42SE2:56990	1	0	1	0	0
RAPGEF3:10411|SLC48A1:55652	5	0	4	0	0
NOCT:25819	8	0	6	0	0
ETV7:51513	10	0	8	0	0
CDH2:1000	571	7	264	2	8
KCNA2:3737	363	30	175	8	30
LOXL1:4016|LOXL1-AS1:100287616	12	0	11	0	0
IFFO1:25900	15	0	15	0	0
ALOX12:239|ALOX12-AS1:100506713	42	0	12	0	0
STK33:65975	14	1	13	0	1
ZNF597:146434	12	0	10	0	0
CEACAM21:90273	11	0	9	0	0
RGMA:56963	19	0	17	0	0
SLC35A1:10559	90	2	26	0	2
SPC25:57405	6	0	6	0	0
UBE2J2:118424	1	0	1	0	0
UGT1A:7361|UGT1A8:54576	7	0	6	0	0
RADIL:55698|PAPOLB:56903	16	0	16	0	0
PIEZO1:9780|LOC100289580:100289580	373	3	161	13	4
RPL23:9349	14	0	6	0	0
INTS6L:203522	3	0	2	0	0
CLEC4D:338339	7	0	6	0	0
SP5:389058|ERICH2-DT:101926913	15	0	15	0	0
CD22:933|MIR5196:100847070	2	0	1	0	0
ACTR1A:10121	4	0	3	0	0
DENR:8562	6	0	5	0	0
FAM220A:84792|SAGSIN1:122526779	8	0	8	0	0
TCF12:6938	234	2	61	49	7
SLC25A20:788	175	4	63	21	8
WDR6:11180|DALRD3:55152	4	0	3	0	0
SMYD5:10322|LOC112841596:112841596	3	0	3	0	0
FZD8:8325|LOC124403940:124403940	2	0	2	0	0
MS4A3:932	5	0	5	0	0
TAF1D:79101|CEP295:85459	2	0	1	0	0
SLC39A11:201266	14	0	13	0	0
PIH1D1:55011	5	0	5	0	0
SLC9A8:23315	6	0	6	0	0
STX16:8675	2	0	0	0	0
SMYD3:64754	12	0	8	0	0
OTX1:5013	7	0	5	0	0
C10orf67:256815|LINC01552:387642	1	0	0	0	1
BAG3:9531	924	5	479	107	11
FADS1:3992|FADS2:9415	3	0	1	0	0
CHRNA9:55584	19	0	19	0	0
SMARCA1:6594	27	0	18	1	0
CADM2:253559	11	0	7	0	0
MAT1A:4143	295	15	97	9	16
PRPS1:5631	237	32	57	5	31
EVA1C:59271	21	0	19	0	0
TLR2:7097|RNF175:285533	1	0	1	0	0
GIMAP7:168537	16	0	16	0	0
ZMYM6:9204	26	0	23	0	0
S100A16:140576	4	0	4	0	0
BRD8:10902	19	0	18	0	0
NEK6:10783	13	0	11	0	0
PPP1R35:221908	8	0	6	0	1
OR52N2:390077	1	0	1	0	0
IQSEC3:440073|IQSEC3-AS1:105369592	6	0	3	0	0
PA2G4:5036	1	0	1	0	0
AKR1A1:10327	9	0	6	0	0
TUBB:203068	79	26	27	0	26
F13A1:2162	171	13	43	14	15
SFXN2:118980	15	0	15	0	0
TACC3:10460	38	0	30	0	0
HLA-A:3105	49	0	34	0	0
CA6:765	9	0	8	0	0
JAKMIP3:282973	23	0	23	0	0
U2AF2:11338	15	4	8	0	4
FOXD2:2306	15	0	15	0	0
ABCC6:368	1277	69	531	130	84
LPXN:9404	5	0	5	0	0
OR2Z1:284383	12	0	12	0	0
KCNJ10:3766	361	13	157	4	13
PGLS:25796|PGLS-DT:100507551	4	0	4	0	0
EP300:2033|MIR1281:100302237	1	0	0	0	0
KLHL17:339451	35	1	21	0	1
RAI1:10743|LOC112529899:112529899	1	0	0	0	1
UTP18:51096|MBTD1:54799	5	0	5	0	0
NDUFB9:4715	81	1	32	0	2
HSF4:3299|FBXL8:55336	13	0	9	0	0
PEX5L:51555	11	0	11	0	0
LHFPL3:375612	10	0	6	0	0
UBA3:9039	4	0	4	0	0
SLIT3:6586|SLIT3-AS2:101927969	5	0	3	0	0
LYRM4:57128|LYRM4-AS1:100129461	32	1	6	0	1
PCDHB@:56116|PCDHB11:56125	35	0	35	0	0
KCNA4:3739	21	0	18	0	0
LASP1:3927	10	0	7	0	0
ENC1:8507	7	0	6	0	0
CYTH2:9266	5	0	5	0	0
MT-ND2:4536	175	2	155	6	2
HLA-E:3133	1	0	1	0	0
FXYD4:53828	1	0	1	0	0
MT-ATP6:4508|MT-ATP8:4509|MT-CO1:4512|MT-CO2:4513|MT-CO3:4514|MT-ND3:4537|MT-ND4:4538|MT-ND4L:4539|MT-TD:4555|MT-TG:4563	1	0	0	1	0
ATAD2B:54454|KLHL29:114818	9	0	9	0	0
GNAT3:346562	8	0	8	0	0
CHRM2:1129|LOC349160:349160	152	0	81	0	0
CUL7:9820	613	5	286	68	9
DEFB105A:245908	2	0	1	0	0
NUTM1:256646	29	0	29	0	0
SETD9:133383	2	0	1	0	0
KIF1B:23095	2142	1	947	0	1
ALKBH2:121642	5	0	5	0	0
GPBP1:65056	9	0	9	0	0
ARRB1:408	5	0	5	0	0
TNFAIP6:7130|LOC101929319:101929319	2	0	2	0	0
CCDC105:126402	11	0	11	0	0
RAB21:23011	5	0	3	0	0
FBXO34:55030	13	0	13	0	0
FOXB2:442425	8	0	8	0	0
SLC25A42:284439	126	0	45	3	0
MICAL3:57553	71	0	69	0	0
HHLA2:11148	14	0	14	0	0
ITGA7:3679	850	0	379	38	3
PPP1R2:5504	4	0	4	0	0
DOCK8:81704|DOCK8-AS1:157983	57	0	14	2	0
ZNF418:147686	16	1	14	0	1
ARHGEF7:8874	29	0	14	0	0
CYP2A7:1549	30	0	28	0	0
COL2A1:1280	2294	263	589	351	351
CHD1L:9557|FMO5:2330	20	0	18	0	0
NAPEPLD:222236	14	0	12	0	0
ZNF208:7757	34	0	33	0	0
NECAB3:63941|ACTL10:170487	5	0	5	0	0
FOXD3:27022|FOXD3-AS1:100996301	14	0	12	0	0
PXT1:222659	2	0	2	0	0
UBE2R2:54926	2	0	2	0	0
KLRD1:3824	4	0	4	0	0
XYLT1:64131|LOC102723692:102723692	77	1	33	0	2
ME3:10873	13	0	12	0	0
MAP2K6:5608	2	0	2	0	0
CDADC1:81602	7	0	7	0	0
SNX17:9784|ZNF513:130557	13	0	0	0	0
LRP1:4035	226	1	98	1	1
ROGDI:79641	515	0	216	26	4
SYNC:81493	9	0	9	0	0
TNS1:7145	72	0	62	0	0
XCR1:2829	5	0	5	0	0
CTSV:1515	7	0	6	0	0
SNRNP35:11066	6	0	6	0	0
CLDND2:125875	4	0	3	0	0
NLGN4X:57502|LOC105373156:105373156	1	0	0	0	0
RER1:11079	1	0	1	0	0
SEZ6:124925	37	0	32	1	0
MEIOB:254528	12	1	9	1	1
NFIL3:4783	11	0	7	0	0
SNX3:8724	3	0	2	0	0
VWDE:221806	41	0	38	0	0
UTS2:10911	7	0	7	0	0
MFSD12:126321|TEKTIP1:100128569	1	0	0	0	0
PLA2G5:5322	97	0	46	1	0
HEATR4:399671	1	0	1	0	0
CACNG7:59284	7	1	6	0	1
ABCD2:225	14	0	13	0	0
MYL4:4635	172	1	74	9	1
MIF:4282|MIF-AS1:284889	6	0	3	0	0
PHTF1:10745	24	0	23	0	0
NKX2-5:1482	479	19	233	59	21
CRYGD:1421|LOC100507443:100507443	70	6	22	7	6
SMG8:55181	17	1	14	2	1
MT-TQ:4572	28	0	0	0	3
TRIM26:7726	10	0	10	0	0
GLTP:51228	11	0	9	0	0
GLI1:2735	58	1	37	5	1
TXNL4B:54957	3	0	3	0	0
LSG1:55341	28	0	24	0	0
MPG:4350	8	0	6	0	0
SMIM24:284422	4	0	4	0	0
RGPD4:285190	67	0	65	0	0
ANKRD62:342850	1	0	0	0	0
GNAL:2774	178	8	28	10	8
OR3A2:4995	12	0	12	0	0
ZBTB47:92999	22	1	20	0	1
TAB3:257397	10	0	8	0	0
SGCE:8910|PEG10:23089	1	0	0	0	0
TNIK:23043	55	0	20	1	0
RGS10:6001	1	0	1	0	0
CHAC1:79094	13	0	10	0	0
HNRNPR:10236	19	1	8	4	1
FBXO48:554251	1	0	1	0	0
GFOD1:54438	6	0	6	0	0
TRIP6:7205	19	0	19	0	0
MTPN:136319|LUZP6:767558	2	0	0	0	0
LYVE1:10894|IRAG1-AS1:100129827	11	0	11	0	0
ZNF749:388567	15	0	15	0	0
PDXDC1:23042	18	0	17	0	0
PEX6:5190|GNMT:27232	1	0	0	0	0
PRSS3:5646|UBE2R2-AS1:101929688	13	0	1	0	0
ADD3:120	140	0	82	0	0
ZNF91:7644	31	0	30	0	0
IRS1:3667	52	1	33	2	1
SLCO5A1:81796	155	0	91	0	0
SEC61G:23480	1	0	1	0	0
CLEC4F:165530	18	0	18	0	0
MST1:4485	29	0	24	0	0
PDCL:5082	6	0	5	0	0
MYCL:4610	12	0	12	0	0
ALDH18A1:5832|LOC121815958:121815958	5	0	0	0	1
DSG1:1828|DSG1-AS1:101927718	246	0	146	4	1
IQGAP2:10788	52	0	43	0	0
TARBP1:6894	60	0	57	0	0
NUP98:4928	41	1	36	0	1
KRT28:162605	18	0	18	0	0
CENPJ:55835	356	0	156	34	1
IRAK1BP1:134728	6	0	6	0	0
PTF1A:256297|C10orf67:256815	4	0	0	0	0
